Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,ZukanIndex,UniqueOnlyB,Size,Rarity,ElementType1,ElementType2,GenusCategory,Organization,weapon,WeaponEquip,HP,MeleeAttack,ShotAttack,Defense,Support,CraftSpeed,EnemyReceiveDamageRate,CaptureRateCorrect,ExpRatio,Price,AIResponse,AISightResponse,SlowWalkSpeed,WalkSpeed,RunSpeed,RideSprintSpeed,TransportSpeed,IsBoss,IsTowerBoss,BattleBGM,IgnoreLeanBack,IgnoreBlowAway,MaxFullStomach,FullStomachDecreaseRate,FoodAmount,ViewingDistance,ViewingAngle,HearingRate,NooseTrap,Nocturnal,BiologicalGrade,Predator,Edible,Stamina,MaleProbability,CombiRank,WorkSuitability_EmitFlame,WorkSuitability_Watering,WorkSuitability_Seeding,WorkSuitability_GenerateElectricity,WorkSuitability_Handcraft,WorkSuitability_Collection,WorkSuitability_Deforest,WorkSuitability_Mining,WorkSuitability_OilExtraction,WorkSuitability_ProductMedicine,WorkSuitability_Cool,WorkSuitability_Transport,WorkSuitability_MonsterFarm,PassiveSkill1,PassiveSkill2,PassiveSkill3,PassiveSkill4,IndexOrder,UniqueOnly,Image,ZukanIndexSuffix,SkillLevelUnlock,SkillUnlockItem,SkillUnlock_,ActiveSkill,ActiveSkillBonus0,ActiveSkillBonus1,ActiveSkillBonus2,ActiveSkillBonus3,ActiveSkillBonus4,Mount,Mount Type,Passive0aCondition,Passive0a,Passive1a,Passive2a,Passive3a,Passive4a,Passive0bCondition,Passive0b,Passive1b,Passive2b,Passive3b,Passive4b,Passive0cCondition,Passive0c,Passive1c,Passive2c,Passive3c,Passive4c
Digtoise,DrillGame,None,None,None,TRUE,EPalTribeID::DrillGame,DrillGame,67,,EPalSizeType::M,5,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,80,95,120,100,100,1,1,1,2980,Warlike,None,75,120,300,420,190,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,5,TRUE,TRUE,100,50,850,0,0,0,0,0,0,0,3,0,0,0,0,0,Deffence_up1,None,None,None,11,FALSE,,,19,SkillUnlock_DrillGame,Headband,SpinningShell,1.1,1.3,1.6,2,2.5,,,,,,,,,,,,,,,,Mining_up_PartnerSkill_DrillGame,Mining_up_PartnerSkill_DrillGame,Mining_up_PartnerSkill_DrillGame,Mining_up_PartnerSkill_DrillGame,Mining_up_PartnerSkill_DrillGame
Galeclaw,Eagle,None,None,None,TRUE,EPalTribeID::Eagle,Eagle,47,,EPalSizeType::M,2,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,120,85,60,100,100,1,1,1,2010,Warlike,None,100,200,600,700,400,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,1,TRUE,TRUE,100,50,1030,0,0,0,0,0,2,0,0,0,0,0,0,0,None,None,None,None,12,FALSE,,,23,SkillUnlock_Eagle,Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzbolt,ElecPanda,None,None,None,TRUE,EPalTribeID::ElecPanda,ElecPanda,103,B,EPalSizeType::L,8,EPalElementType::Electricity,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,105,120,100,100,100,100,1,1,1,7720,Warlike,None,80,140,470,550,210,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,5,TRUE,TRUE,100,50,200,0,0,0,3,2,0,2,0,0,0,0,3,0,None,None,None,None,13,TRUE,,,40,SkillUnlock_ElecPanda,Saddle,UniqueRideShooting_Minigun,6,6.6,7.8,9.6,12,TRUE,Ground,,,,,,,,,,,,,,,,,,
Teafant,Ganesha,None,None,None,TRUE,EPalTribeID::Ganesha,Ganesha,16,,EPalSizeType::M,1,EPalElementType::Water,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,60,70,100,100,1.6,1.3,1,1000,Escape_to_Battle,None,30,60,300,400,180,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,1490,0,1,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,14,FALSE,,,,,,Heal,200,220,260,320,400,,,,,,,,,,,,,,,,,,,,
Direhowl,Garm,None,None,None,TRUE,EPalTribeID::Garm,Garm,26,,EPalSizeType::S,2,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,110,90,75,100,100,1,1,1,1920,Warlike,None,90,180,800,1050,460,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,3,TRUE,TRUE,70,50,1060,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None,15,FALSE,,,9,SkillUnlock_Garm,Saddle,,,,,,,TRUE,Ground,,,,,,,,,,,,,mounted,,MoveSpeed_up_PartnerSkill_Ride_1,MoveSpeed_up_PartnerSkill_Ride_2,MoveSpeed_up_PartnerSkill_Ride_3,MoveSpeed_up_PartnerSkill_Ride_4
Gorirat,Gorilla,None,None,None,TRUE,EPalTribeID::Gorilla,Gorilla,49,,EPalSizeType::S,5,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,110,95,90,100,100,1,1,1,2010,Warlike,None,66,100,550,720,250,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,3,TRUE,TRUE,100,50,1040,0,0,0,0,1,0,2,0,0,0,0,3,0,PAL_rude,None,None,None,16,FALSE,,,,,,Berserk,,,,,,,,,,,,,,,,,,,,skill buff,Attack_ACC_up1_Gorilla,Attack_ACC_up2_Gorilla,Attack_ACC_up3_Gorilla,Attack_ACC_up4_Gorilla,Attack_ACC_up5_Gorilla
Jolthog,Hedgehog,None,None,None,TRUE,EPalTribeID::Hedgehog,Hedgehog,12,,EPalSizeType::XS,1,EPalElementType::Electricity,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,75,70,100,100,1.3,1.2,1,1060,Escape_to_Battle,None,30,60,400,550,215,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,TRUE,FALSE,0,FALSE,TRUE,100,50,1370,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None,17,FALSE,,,8,SkillUnlock_Hedgehog,,Grenade,100,110,130,160,200,,,,,,,,,,,,,,,,,,,,
Jolthog Cryst,Hedgehog_Ice,None,None,None,TRUE,EPalTribeID::Hedgehog_Ice,Hedgehog_Ice,12,B,EPalSizeType::XS,2,EPalElementType::Ice,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,75,80,100,100,1,1,1,1070,Escape_to_Battle,None,30,60,400,550,215,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,TRUE,FALSE,0,FALSE,TRUE,100,50,1360,0,0,0,0,0,0,0,0,0,0,1,0,0,None,None,None,None,18,TRUE,,B,11,SkillUnlock_Hedgehog_Ice,Gloves,Grenade,100,110,130,160,200,,,,,,,,,,,,,,,,,,,,
Univolt,Kirin,None,None,None,TRUE,EPalTribeID::Kirin,Kirin,56,,EPalSizeType::M,5,EPalElementType::Electricity,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,110,105,105,100,100,1,0.9,1,4280,NotInterested,None,80,130,720,1100,425,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,5,FALSE,TRUE,100,50,680,0,0,0,2,0,0,1,0,0,0,0,0,0,None,None,None,None,19,FALSE,,,14,SkillUnlock_Kirin,Saddle,,,,,,,TRUE,Ground,together,GiveAElectricity_Ride,GiveAElectricity_Ride,GiveAElectricity_Ride,GiveAElectricity_Ride,GiveAElectricity_Ride,,,,,,,,GiveElement_TrainerATK_UP_PartnerSkill_Ride_1,GiveElement_TrainerATK_UP_PartnerSkill_Ride_2,GiveElement_TrainerATK_UP_PartnerSkill_Ride_3,GiveElement_TrainerATK_UP_PartnerSkill_Ride_4,GiveElement_TrainerATK_UP_PartnerSkill_Ride_5
Foxparks,Kitsunebi,None,None,None,TRUE,EPalTribeID::Kitsunebi,Kitsunebi,5,,EPalSizeType::XS,1,EPalElementType::Fire,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,65,70,75,70,100,100,1.3,1.1,1,1040,Escape_to_Battle,None,40,80,400,550,240,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,TRUE,FALSE,0,FALSE,TRUE,100,50,1400,1,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,20,FALSE,,,6,SkillUnlock_Kitsuneb,Harness,Flamethrower,10,11,13,16,20,,,,,,,,,,,,,,,,,,,,
Bristla,LittleBriarRose,None,None,None,TRUE,EPalTribeID::LittleBriarRose,LittleBriarRose,30,,EPalSizeType::S,1,EPalElementType::Leaf,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,80,80,80,100,100,1,1,1,1140,Escape_to_Battle,None,50,100,400,550,250,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,1320,0,0,1,0,1,1,0,0,0,2,0,1,0,None,None,None,None,21,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf Pal,PAL_ElementPassive_Test,PAL_ElementPassive_1,PAL_ElementPassive_2,PAL_ElementPassive_3,PAL_ElementPassive_4
Lunaris,Mutant,None,None,None,TRUE,EPalTribeID::Mutant,Mutant,63,,EPalSizeType::M,6,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,80,100,90,100,100,1,1,1,1760,NotInterested,None,80,130,500,650,315,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,3,FALSE,TRUE,100,50,1110,0,0,0,0,3,1,0,0,0,0,0,1,0,None,None,None,None,22,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,MaxInventoryWeight_up_Partnerskill_4,MaxInventoryWeight_up_Partnerskill_5,MaxInventoryWeight_up_Partnerskill_6,MaxInventoryWeight_up_Partnerskill_7,MaxInventoryWeight_up_Partnerskill_8
Pengullet,Penguin,None,None,None,TRUE,EPalTribeID::Penguin,Penguin,10,,EPalSizeType::XS,1,EPalElementType::Water,EPalElementType::Ice,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,75,70,100,100,1,0.9,1,1080,Escape_to_Battle,None,30,60,500,650,265,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,TRUE,FALSE,0,FALSE,TRUE,100,50,1350,0,1,0,0,1,0,0,0,0,0,1,1,0,None,None,None,None,23,FALSE,,,17,SkillUnlock_Penguin,Launcher,RocketLauncher,250,285,325,400,500,,,,,,,,,,,,,,,,,,,,
Dazzi,RaijinDaughter,None,None,None,TRUE,EPalTribeID::RaijinDaughter,RaijinDaughter,62,,EPalSizeType::XS,2,EPalElementType::Electricity,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,110,80,70,100,100,1,1,1,1390,Escape_to_Battle,None,120,200,400,550,300,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,20,1210,0,0,0,1,1,0,0,0,0,0,0,1,0,None,None,None,None,24,FALSE,,,22,SkillUnlock_RaijinDaughter,Choker,Funnel_RaijinDaughter,1,1.1,1.3,1.6,2,,,,,,,,,,,,,,,,,,,,
Gobfin,SharkKid,None,None,None,TRUE,EPalTribeID::SharkKid,SharkKid,31,,EPalSizeType::S,2,EPalElementType::Water,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,90,90,75,100,100,1,1,1,1840,Warlike,None,50,80,400,500,120,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,3,TRUE,TRUE,100,50,1090,0,2,0,0,1,0,0,0,0,0,0,1,0,None,None,None,None,25,FALSE,,,,,,WaterGun,1.1,1.3,1.6,2,2.5,,,,,,,,,,,,,,,,TrainerATK_UP_PartnerSkill_1,TrainerATK_UP_PartnerSkill_2,TrainerATK_UP_PartnerSkill_3,TrainerATK_UP_PartnerSkill_4,TrainerATK_UP_PartnerSkill_5
Gobfin Ignis,SharkKid_Fire,None,None,None,TRUE,EPalTribeID::SharkKid_Fire,SharkKid_Fire,31,B,EPalSizeType::S,3,EPalElementType::Fire,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,90,90,75,100,100,1,1,1,1800,Warlike,None,50,80,400,500,120,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,3,TRUE,TRUE,100,50,1100,2,0,0,0,1,0,0,0,0,0,0,1,0,None,None,None,None,26,TRUE,,B,,,,FireSeed,1.1,1.3,1.6,2,2.5,,,,,,,,,,,,,,,,TrainerATK_UP_PartnerSkill_1,TrainerATK_UP_PartnerSkill_2,TrainerATK_UP_PartnerSkill_3,TrainerATK_UP_PartnerSkill_4,TrainerATK_UP_PartnerSkill_5
Lamball,SheepBall,None,None,None,TRUE,EPalTribeID::SheepBall,SheepBall,1,,EPalSizeType::XS,1,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,70,70,100,100,2,1.5,1,1000,Friendly,None,23,40,400,550,160,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,TRUE,FALSE,0,FALSE,TRUE,100,50,1470,0,0,0,0,1,0,0,0,0,0,0,1,1,None,None,None,None,27,FALSE,,,,,,Shiled,,,,,,,,in base,CollectItem_Wool_SheepBall,,,,,,,,,,,,CharacterSpawnItem_Wool_1,CharacterSpawnItem_Wool_2,CharacterSpawnItem_Wool_3,CharacterSpawnItem_Wool_4,CharacterSpawnItem_Wool_5
Jormuntide,Umihebi,None,None,None,TRUE,EPalTribeID::Umihebi,Umihebi,101,,EPalSizeType::XL,8,EPalElementType::Dragon,EPalElementType::Water,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,FALSE,130,150,120,100,100,100,1,1,1,9320,Warlike,None,100,175,525,700,350,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,5,TRUE,TRUE,100,50,310,0,4,0,0,0,0,0,0,0,0,0,0,0,ElementBoost_Aqua_2_PAL,None,None,None,28,FALSE,,,39,SkillUnlock_Umihebi,Saddle,,,,,,,TRUE,Swim,,,,,,,,,,,,,mounted,,MoveSpeed_up_PartnerSkill_Ride_1,MoveSpeed_up_PartnerSkill_Ride_2,MoveSpeed_up_PartnerSkill_Ride_3,MoveSpeed_up_PartnerSkill_Ride_4
Jormuntide Ignis,Umihebi_Fire,None,None,None,TRUE,EPalTribeID::Umihebi_Fire,Umihebi_Fire,101,B,EPalSizeType::XL,9,EPalElementType::Dragon,EPalElementType::Fire,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,FALSE,130,150,130,100,100,100,1,1,1,9500,Warlike,None,100,175,525,700,350,FALSE,FALSE,EPalBattleBGMType::Strong,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,5,TRUE,TRUE,100,50,315,4,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,29,TRUE,,B,43,SkillUnlock_Umihebi_Fire,Saddle,,,,,,,TRUE,Swim,,,,,,,,,,,,,,ElementBoost_Fire_PAL_PartnerSKill_1,ElementBoost_Fire_PAL_PartnerSKill_2,ElementBoost_Fire_PAL_PartnerSKill_3,ElementBoost_Fire_PAL_PartnerSKill_4,ElementBoost_Fire_PAL_PartnerSKill_5
Loupmoon,Werewolf,None,None,None,TRUE,EPalTribeID::Werewolf,Werewolf,46,,EPalSizeType::M,3,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,130,100,80,100,100,1,1,1,2400,Warlike,None,100,150,600,800,375,FALSE,FALSE,EPalBattleBGMType::Cool,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,3,TRUE,TRUE,100,50,950,0,0,0,0,2,0,0,0,0,0,0,0,0,None,None,None,None,30,FALSE,,,,,,Unique_Werewolf_Scratch,1.1,1.3,1.6,2,2.5,,,,,,,,,,,,,,,,,,,,
Hangyu,WindChimes,None,None,None,TRUE,EPalTribeID::WindChimes,WindChimes,32,,EPalSizeType::XS,1,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,70,70,70,100,100,1,1,1,1020,Escape_to_Battle,None,50,100,400,550,250,FALSE,FALSE,EPalBattleBGMType::Cute,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,1420,0,0,0,0,1,1,0,0,0,0,0,2,0,None,None,None,None,31,FALSE,,,20,SkillUnlock_WindChimes,Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,
